frame,fps
465,1.37
466,1.36
467,1.34
468,1.32
469,1.29
470,1.28
471,1.27
472,1.27
473,1.27
474,1.26
475,1.24
476,1.23
477,1.22
478,1.22
479,1.22
480,1.22
481,1.22
482,1.22
483,1.22
484,1.22
485,1.23
486,1.24
487,1.24
488,1.24
489,1.24
490,1.24
491,1.23
492,1.24
493,1.27
494,1.28
495,1.29
496,1.29
497,1.29
