video_name,camera_id,frame,timestamp_rel,timestamp_abs,track_id,x1,y1,x2,y2,bbox_area
exam scene1.mp4,0,10,0.3,2025-12-26 22:06:36.703856,3,95,38,140,88,2250
exam scene1.mp4,0,10,0.3,2025-12-26 22:06:36.703856,4,251,104,316,175,4615
exam scene1.mp4,0,10,0.3,2025-12-26 22:06:36.703856,5,250,235,339,332,8633
exam scene1.mp4,0,10,0.3,2025-12-26 22:06:36.703856,6,346,114,420,229,8510
exam scene1.mp4,0,10,0.3,2025-12-26 22:06:36.703856,7,283,61,324,132,2911
exam scene1.mp4,0,10,0.3,2025-12-26 22:06:36.703856,9,247,158,316,243,5865
exam scene1.mp4,0,11,0.3333333333333333,2025-12-26 22:06:37.155734,1,442,137,520,289,11856
exam scene1.mp4,0,11,0.3333333333333333,2025-12-26 22:06:37.155734,2,505,203,573,318,7820
exam scene1.mp4,0,11,0.3333333333333333,2025-12-26 22:06:37.155734,3,95,38,140,87,2205
exam scene1.mp4,0,11,0.3333333333333333,2025-12-26 22:06:37.155734,4,251,104,316,175,4615
exam scene1.mp4,0,11,0.3333333333333333,2025-12-26 22:06:37.155734,5,250,235,339,331,8544
exam scene1.mp4,0,11,0.3333333333333333,2025-12-26 22:06:37.155734,6,347,114,420,229,8395
exam scene1.mp4,0,11,0.3333333333333333,2025-12-26 22:06:37.155734,7,285,65,324,133,2652
exam scene1.mp4,0,11,0.3333333333333333,2025-12-26 22:06:37.155734,9,248,158,315,240,5494
exam scene1.mp4,0,12,0.36666666666666664,2025-12-26 22:06:37.612348,1,442,137,520,289,11856
exam scene1.mp4,0,12,0.36666666666666664,2025-12-26 22:06:37.612348,2,505,203,573,318,7820
exam scene1.mp4,0,12,0.36666666666666664,2025-12-26 22:06:37.612348,3,95,38,140,87,2205
exam scene1.mp4,0,12,0.36666666666666664,2025-12-26 22:06:37.613620,4,250,104,316,175,4686
exam scene1.mp4,0,12,0.36666666666666664,2025-12-26 22:06:37.613620,5,250,235,339,331,8544
exam scene1.mp4,0,12,0.36666666666666664,2025-12-26 22:06:37.613620,6,347,114,420,229,8395
