video_name,camera_id,frame,timestamp_rel,timestamp_abs,x1,y1,x2,y2,conf
exam scene1.mp4,0,1,0.0,2025-12-26 22:06:31.890667,442,129,524,291,0.8541463613510132
exam scene1.mp4,0,1,0.0,2025-12-26 22:06:31.894454,506,203,574,318,0.834858238697052
exam scene1.mp4,0,1,0.0,2025-12-26 22:06:31.894454,96,38,141,89,0.7535371780395508
exam scene1.mp4,0,1,0.0,2025-12-26 22:06:31.894454,251,103,317,175,0.6373050212860107
exam scene1.mp4,0,1,0.0,2025-12-26 22:06:31.895180,249,235,339,332,0.5579177141189575
exam scene1.mp4,0,1,0.0,2025-12-26 22:06:31.895180,347,114,420,229,0.5285719037055969
exam scene1.mp4,0,1,0.0,2025-12-26 22:06:31.895180,283,58,325,133,0.5279500484466553
exam scene1.mp4,0,2,0.03333333333333333,2025-12-26 22:06:32.401264,442,129,524,291,0.8551061153411865
exam scene1.mp4,0,2,0.03333333333333333,2025-12-26 22:06:32.401264,506,203,574,318,0.8357841372489929
exam scene1.mp4,0,2,0.03333333333333333,2025-12-26 22:06:32.401264,96,38,141,89,0.7536659240722656
exam scene1.mp4,0,2,0.03333333333333333,2025-12-26 22:06:32.401264,251,103,317,175,0.637515127658844
exam scene1.mp4,0,2,0.03333333333333333,2025-12-26 22:06:32.401264,249,235,339,332,0.5578323602676392
exam scene1.mp4,0,2,0.03333333333333333,2025-12-26 22:06:32.401264,347,114,420,229,0.5336208343505859
exam scene1.mp4,0,2,0.03333333333333333,2025-12-26 22:06:32.401264,283,58,325,133,0.5268295407295227
exam scene1.mp4,0,3,0.06666666666666667,2025-12-26 22:06:32.780221,442,135,524,290,0.8547640442848206
exam scene1.mp4,0,3,0.06666666666666667,2025-12-26 22:06:32.780221,506,203,574,318,0.8316428065299988
exam scene1.mp4,0,3,0.06666666666666667,2025-12-26 22:06:32.780221,96,38,141,89,0.7537190914154053
exam scene1.mp4,0,3,0.06666666666666667,2025-12-26 22:06:32.780221,251,104,317,175,0.6342227458953857
exam scene1.mp4,0,3,0.06666666666666667,2025-12-26 22:06:32.780221,249,235,339,332,0.5330734252929688
exam scene1.mp4,0,3,0.06666666666666667,2025-12-26 22:06:32.780221,283,58,325,133,0.5285661220550537
exam scene1.mp4,0,3,0.06666666666666667,2025-12-26 22:06:32.780221,347,114,420,229,0.5276724100112915
exam scene1.mp4,0,4,0.1,2025-12-26 22:06:33.183625,442,135,524,290,0.8544070720672607
exam scene1.mp4,0,4,0.1,2025-12-26 22:06:33.185634,506,203,574,318,0.831057608127594
exam scene1.mp4,0,4,0.1,2025-12-26 22:06:33.185634,96,38,141,89,0.7553650140762329
exam scene1.mp4,0,4,0.1,2025-12-26 22:06:33.185634,251,104,317,175,0.6342337131500244
exam scene1.mp4,0,4,0.1,2025-12-26 22:06:33.185634,282,58,325,133,0.5478498339653015
exam scene1.mp4,0,4,0.1,2025-12-26 22:06:33.185634,347,114,420,229,0.5295770764350891
exam scene1.mp4,0,4,0.1,2025-12-26 22:06:33.185634,294,32,333,76,0.501055896282196
exam scene1.mp4,0,5,0.13333333333333333,2025-12-26 22:06:33.595320,442,135,524,290,0.8521610498428345
exam scene1.mp4,0,5,0.13333333333333333,2025-12-26 22:06:33.595320,505,203,574,318,0.8287277817726135
exam scene1.mp4,0,5,0.13333333333333333,2025-12-26 22:06:33.595320,96,38,141,89,0.754928708076477
exam scene1.mp4,0,5,0.13333333333333333,2025-12-26 22:06:33.595320,251,104,317,175,0.623692512512207
exam scene1.mp4,0,5,0.13333333333333333,2025-12-26 22:06:33.595320,347,114,420,229,0.547873854637146
exam scene1.mp4,0,5,0.13333333333333333,2025-12-26 22:06:33.597329,283,59,325,133,0.525346040725708
exam scene1.mp4,0,5,0.13333333333333333,2025-12-26 22:06:33.597329,245,158,318,250,0.509867250919342
exam scene1.mp4,0,6,0.16666666666666666,2025-12-26 22:06:34.008803,442,135,524,290,0.8528370261192322
exam scene1.mp4,0,6,0.16666666666666666,2025-12-26 22:06:34.008803,505,203,574,318,0.8275373578071594
exam scene1.mp4,0,6,0.16666666666666666,2025-12-26 22:06:34.008803,96,38,141,89,0.755581796169281
exam scene1.mp4,0,6,0.16666666666666666,2025-12-26 22:06:34.010810,251,104,317,175,0.6112370491027832
exam scene1.mp4,0,6,0.16666666666666666,2025-12-26 22:06:34.010810,347,114,420,229,0.5507141947746277
exam scene1.mp4,0,6,0.16666666666666666,2025-12-26 22:06:34.011537,283,59,325,133,0.5381965041160583
exam scene1.mp4,0,6,0.16666666666666666,2025-12-26 22:06:34.011537,245,158,318,245,0.5229900479316711
exam scene1.mp4,0,7,0.2,2025-12-26 22:06:34.552674,442,136,523,290,0.8524988293647766
exam scene1.mp4,0,7,0.2,2025-12-26 22:06:34.553934,505,203,574,318,0.8251519799232483
exam scene1.mp4,0,7,0.2,2025-12-26 22:06:34.553934,96,38,141,89,0.7534930109977722
exam scene1.mp4,0,7,0.2,2025-12-26 22:06:34.553934,251,104,317,176,0.6271277666091919
exam scene1.mp4,0,7,0.2,2025-12-26 22:06:34.553934,245,158,319,249,0.5568280816078186
exam scene1.mp4,0,7,0.2,2025-12-26 22:06:34.555949,347,114,420,229,0.5325288772583008
exam scene1.mp4,0,7,0.2,2025-12-26 22:06:34.555949,283,59,325,132,0.5306175947189331
exam scene1.mp4,0,7,0.2,2025-12-26 22:06:34.557963,293,32,333,76,0.5113103985786438
exam scene1.mp4,0,8,0.23333333333333334,2025-12-26 22:06:35.306853,442,136,523,290,0.8579882979393005
