frame,person_id,type
66,2,Excessive Hand Movement
66,3,Excessive Head Turn
66,3,Excessive Hand Movement
66,6,Excessive Head Turn
66,6,Excessive Hand Movement
67,1,Excessive Head Turn
67,1,Excessive Hand Movement
67,2,Excessive Head Turn
67,2,Excessive Hand Movement
67,3,Excessive Head Turn
67,3,Excessive Hand Movement
67,6,Excessive Head Turn
67,6,Excessive Hand Movement
68,1,Excessive Head Turn
68,1,Excessive Hand Movement
68,2,Excessive Head Turn
68,2,Excessive Hand Movement
68,3,Excessive Head Turn
68,3,Excessive Hand Movement
68,6,Excessive Head Turn
68,6,Excessive Hand Movement
69,1,Excessive Head Turn
69,1,Excessive Hand Movement
69,2,Excessive Head Turn
69,2,Excessive Hand Movement
69,3,Excessive Head Turn
69,3,Excessive Hand Movement
70,1,Excessive Head Turn
70,1,Excessive Hand Movement
70,2,Excessive Head Turn
70,2,Excessive Hand Movement
70,3,Excessive Head Turn
70,3,Excessive Hand Movement
70,6,Excessive Head Turn
70,6,Excessive Hand Movement
71,1,Excessive Head Turn
71,1,Excessive Hand Movement
71,2,Excessive Head Turn
71,2,Excessive Hand Movement
71,3,Excessive Head Turn
71,3,Excessive Hand Movement
71,6,Excessive Head Turn
71,6,Excessive Hand Movement
72,1,Excessive Head Turn
72,1,Excessive Hand Movement
72,2,Excessive Head Turn
72,2,Excessive Hand Movement
72,3,Excessive Head Turn
72,3,Excessive Hand Movement
72,6,Excessive Head Turn
72,6,Excessive Hand Movement
73,1,Excessive Head Turn
73,1,Excessive Hand Movement
73,2,Excessive Head Turn
73,2,Excessive Hand Movement
73,3,Excessive Head Turn
73,3,Excessive Hand Movement
73,6,Excessive Head Turn
73,6,Excessive Hand Movement
74,1,Excessive Head Turn
74,1,Excessive Hand Movement
74,3,Excessive Head Turn
74,3,Excessive Hand Movement
74,6,Excessive Head Turn
74,6,Excessive Hand Movement
75,1,Excessive Head Turn
75,1,Excessive Hand Movement
75,2,Excessive Head Turn
75,2,Excessive Hand Movement
75,3,Excessive Head Turn
75,3,Excessive Hand Movement
75,6,Excessive Head Turn
75,6,Excessive Hand Movement
76,1,Excessive Head Turn
76,1,Excessive Hand Movement
