frame,track_id,x1,y1,x2,y2
22,7,285,73,324,133
22,8,293,32,334,75
22,9,246,158,314,241
22,10,408,35,444,78
22,11,167,70,214,150
22,18,54,146,166,257
23,1,440,130,519,291
23,2,505,203,573,318
23,3,95,37,140,89
23,4,251,104,316,174
23,5,252,238,338,330
23,6,347,115,421,231
23,7,285,73,324,133
23,8,293,32,335,75
23,9,246,158,314,241
23,10,408,35,444,78
23,11,167,70,214,150
23,18,55,147,165,256
24,1,440,130,519,291
24,2,504,202,573,318
24,3,95,38,140,89
24,4,251,104,316,174
24,5,252,238,338,330
24,6,347,115,421,232
24,7,285,73,324,133
24,8,293,31,335,75
24,9,245,158,314,241
24,10,408,35,444,78
24,11,167,70,214,150
24,18,55,147,165,257
25,1,441,132,518,291
25,2,504,202,573,318
25,3,95,38,140,89
25,4,251,104,316,174
25,5,252,238,338,330
25,6,347,115,421,231
25,7,285,73,324,134
25,8,286,31,339,89
25,9,245,158,314,241
25,10,408,35,445,78
25,11,167,70,214,150
25,18,55,147,165,256
26,1,441,132,518,291
26,2,504,201,573,317
26,3,94,38,140,89
26,4,251,104,316,174
26,5,252,238,338,329
26,6,347,115,421,231
26,7,286,74,324,133
26,8,286,31,337,88
26,9,245,158,314,241
26,10,408,35,445,78
26,11,165,70,215,155
26,18,55,148,165,256
27,1,442,136,517,291
27,2,504,201,573,316
27,3,94,38,140,89
27,4,251,104,316,174
27,5,251,238,338,330
27,6,347,115,421,231
27,7,286,74,325,133
27,8,284,31,337,89
27,9,245,158,314,240
27,10,408,35,445,78
27,11,166,70,215,152
27,18,55,148,164,256
28,1,442,139,517,291
28,2,504,201,572,316
28,3,94,38,140,89
28,4,251,105,316,175
28,5,251,238,338,330
28,6,347,115,421,232
28,7,286,74,325,133
28,8,284,31,337,91
28,9,245,158,314,240
28,10,408,35,445,78
28,11,167,70,214,151
28,18,55,149,164,256
29,1,443,141,516,291
29,2,504,201,572,316
29,3,94,38,140,88
29,4,251,105,316,175
29,5,252,238,338,330
29,6,347,115,421,232
29,7,287,73,325,132
29,8,287,31,337,85
29,9,245,158,314,241
29,10,408,35,445,78
29,11,167,70,214,151
29,18,55,149,164,256
29,19,435,91,494,178
30,1,443,141,517,290
30,2,503,201,572,316
30,3,94,38,140,88
30,4,251,105,317,175
30,5,252,238,338,329
30,6,347,115,421,231
30,7,287,73,325,132
30,8,288,31,336,84
30,9,245,158,314,241
30,10,409,35,444,78
30,11,167,70,214,151
30,18,55,149,163,256
30,19,436,91,494,177
31,1,443,142,517,290
31,2,502,201,572,318
31,3,94,38,140,88
31,4,251,105,317,175
31,5,252,238,338,329
31,6,347,115,421,231
31,7,287,74,325,131
31,8,290,31,336,82
31,9,245,158,314,241
31,10,409,35,444,78
31,11,167,70,214,150
31,18,55,150,163,256
31,19,434,92,492,177
32,1,445,149,516,289
32,2,501,201,573,320
32,3,94,38,140,87
32,4,251,105,317,175
32,5,253,238,337,326
32,6,348,115,420,231
32,7,286,74,325,131
32,8,291,31,335,80
32,9,245,158,314,241
32,10,409,36,444,78
32,11,167,70,214,150
32,18,55,150,163,256
32,19,434,92,493,177
33,1,446,152,516,289
33,2,500,200,573,321
33,3,94,38,140,87
33,4,251,105,317,175
33,5,253,238,337,325
33,6,348,115,420,231
33,7,287,74,325,131
33,8,292,31,335,79
33,9,245,158,314,241
33,10,409,36,444,78
33,11,166,70,214,150
33,18,55,150,163,256
33,19,435,92,494,177
34,1,446,153,516,288
34,2,499,200,572,321
