frame,person_id,anomaly_type,timestamp,timestamp_sec,bbox,duration_sec
115,2,Looking Away,00:03,3.8371666666666666,"(1380,338,1694,606)",0.5004999999999997
115,4,Looking Away,00:03,3.8371666666666666,"(331,417,708,1068)",0.5004999999999997
116,1,Looking Away,00:03,3.8705333333333334,"(1115,389,1721,986)",0.5005000000000002
120,1,Excessive Head Turn,00:04,4.0040000000000004,"(1117,389,1719,984)",0.5005000000000002
121,2,Excessive Head Turn,00:04,4.037366666666666,"(1383,339,1688,599)",0.5004999999999997
123,4,Excessive Hand Movement,00:04,4.1041,"(328,418,702,1067)",0.8341666666666665
124,1,Excessive Hand Movement,00:04,4.137466666666667,"(1116,390,1716,986)",0.8675333333333333
124,2,Excessive Hand Movement,00:04,4.137466666666667,"(1382,337,1687,598)",0.9676333333333331
127,4,Excessive Head Turn,00:04,4.237566666666667,"(326,426,698,1070)",0.5005000000000002
130,2,Looking Away,00:04,4.337666666666666,"(1386,338,1681,592)",0.5004999999999997
130,4,Looking Away,00:04,4.337666666666666,"(326,428,698,1070)",0.5004999999999997
131,1,Looking Away,00:04,4.371033333333333,"(1118,390,1715,985)",0.5004999999999997
135,1,Excessive Head Turn,00:04,4.5045,"(1117,391,1713,985)",0.5004999999999997
136,2,Excessive Head Turn,00:04,4.537866666666667,"(1384,337,1676,588)",0.5005000000000006
142,4,Excessive Head Turn,00:04,4.738066666666667,"(324,426,705,1069)",0.5004999999999997
145,2,Looking Away,00:04,4.838166666666667,"(1377,338,1668,590)",0.5005000000000006
145,4,Looking Away,00:04,4.838166666666667,"(320,423,706,1071)",0.5005000000000006
146,1,Looking Away,00:04,4.871533333333334,"(1114,391,1711,985)",0.5005000000000006
149,1,Excessive Hand Movement,00:04,4.971633333333333,"(1112,391,1710,987)",0.8341666666666665
150,1,Excessive Head Turn,00:05,5.005,"(1112,391,1709,985)",0.5004999999999997
150,2,Excessive Hand Movement,00:05,5.005,"(1374,334,1664,587)",0.8675333333333333
151,2,Excessive Head Turn,00:05,5.038366666666667,"(1374,334,1663,587)",0.5004999999999997
156,4,Excessive Hand Movement,00:05,5.2052000000000005,"(332,413,753,1072)",1.1011000000000006
157,4,Excessive Head Turn,00:05,5.238566666666666,"(328,412,752,1072)",0.5004999999999997
160,2,Looking Away,00:05,5.338666666666667,"(1395,338,1668,584)",0.5004999999999997
