frame_number,timestamp,person_id,anomaly_type,severity,confidence,description
1,00:00,3,Hand Raise,70,0.9,Student raised hand above shoulder
3,00:00,14,Head Turn,60,0.8,Student turned head significantly
3,00:00,14,Looking Away,50,0.7,Student looking away from desk
3,00:00,15,Hand Raise,70,0.9,Student raised hand above shoulder
3,00:00,15,Looking Away,50,0.7,Student looking away from desk
4,00:00,19,Head Turn,60,0.8,Student turned head significantly
7,00:00,34,Head Turn,60,0.8,Student turned head significantly
7,00:00,34,Looking Away,50,0.7,Student looking away from desk
8,00:00,36,Hand Raise,70,0.9,Student raised hand above shoulder
8,00:00,36,Looking Away,50,0.7,Student looking away from desk
8,00:00,37,Head Turn,60,0.8,Student turned head significantly
8,00:00,37,Looking Away,50,0.7,Student looking away from desk
9,00:00,44,Head Turn,60,0.8,Student turned head significantly
10,00:00,46,Head Turn,60,0.8,Student turned head significantly
10,00:00,46,Hand Raise,70,0.9,Student raised hand above shoulder
10,00:00,46,Looking Away,50,0.7,Student looking away from desk
10,00:00,47,Head Turn,60,0.8,Student turned head significantly
10,00:00,47,Looking Away,50,0.7,Student looking away from desk
13,00:00,62,Head Turn,60,0.8,Student turned head significantly
13,00:00,62,Hand Raise,70,0.9,Student raised hand above shoulder
13,00:00,62,Looking Away,50,0.7,Student looking away from desk
13,00:00,63,Head Turn,60,0.8,Student turned head significantly
13,00:00,63,Looking Away,50,0.7,Student looking away from desk
13,00:00,64,Head Turn,60,0.8,Student turned head significantly
13,00:00,64,Looking Away,50,0.7,Student looking away from desk
13,00:00,65,Head Turn,60,0.8,Student turned head significantly
13,00:00,65,Hand Raise,70,0.9,Student raised hand above shoulder
13,00:00,65,Looking Away,50,0.7,Student looking away from desk
14,00:00,66,Hand Raise,70,0.9,Student raised hand above shoulder
14,00:00,66,Looking Away,50,0.7,Student looking away from desk
14,00:00,67,Head Turn,60,0.8,Student turned head significantly
14,00:00,67,Hand Raise,70,0.9,Student raised hand above shoulder
14,00:00,67,Looking Away,50,0.7,Student looking away from desk
14,00:00,68,Head Turn,60,0.8,Student turned head significantly
14,00:00,68,Hand Raise,70,0.9,Student raised hand above shoulder
14,00:00,68,Looking Away,50,0.7,Student looking away from desk
14,00:00,69,Head Turn,60,0.8,Student turned head significantly
14,00:00,69,Looking Away,50,0.7,Student looking away from desk
15,00:00,73,Head Turn,60,0.8,Student turned head significantly
18,00:00,85,Hand Raise,70,0.9,Student raised hand above shoulder
18,00:00,87,Head Turn,60,0.8,Student turned head significantly
18,00:00,88,Head Turn,60,0.8,Student turned head significantly
21,00:00,99,Head Turn,60,0.8,Student turned head significantly
21,00:00,100,Head Turn,60,0.8,Student turned head significantly
23,00:00,108,Looking Away,50,0.7,Student looking away from desk
24,00:00,109,Head Turn,60,0.8,Student turned head significantly
24,00:00,109,Looking Away,50,0.7,Student looking away from desk
24,00:00,110,Head Turn,60,0.8,Student turned head significantly
24,00:00,110,Looking Away,50,0.7,Student looking away from desk
24,00:00,111,Looking Away,50,0.7,Student looking away from desk
24,00:00,112,Hand Raise,70,0.9,Student raised hand above shoulder
24,00:00,112,Looking Away,50,0.7,Student looking away from desk
25,00:00,113,Head Turn,60,0.8,Student turned head significantly
25,00:00,113,Looking Away,50,0.7,Student looking away from desk
25,00:00,114,Head Turn,60,0.8,Student turned head significantly
26,00:00,117,Head Turn,60,0.8,Student turned head significantly
26,00:00,117,Looking Away,50,0.7,Student looking away from desk
26,00:00,120,Hand Raise,70,0.9,Student raised hand above shoulder
27,00:00,123,Head Turn,60,0.8,Student turned head significantly
27,00:00,123,Hand Raise,70,0.9,Student raised hand above shoulder
27,00:00,123,Looking Away,50,0.7,Student looking away from desk
27,00:00,124,Looking Away,50,0.7,Student looking away from desk
28,00:00,125,Head Turn,60,0.8,Student turned head significantly
28,00:00,125,Hand Raise,70,0.9,Student raised hand above shoulder
28,00:00,125,Looking Away,50,0.7,Student looking away from desk
28,00:00,128,Hand Raise,70,0.9,Student raised hand above shoulder
28,00:00,128,Looking Away,50,0.7,Student looking away from desk
29,00:01,129,Hand Raise,70,0.9,Student raised hand above shoulder
29,00:01,130,Hand Raise,70,0.9,Student raised hand above shoulder
29,00:01,131,Head Turn,60,0.8,Student turned head significantly
29,00:01,131,Looking Away,50,0.7,Student looking away from desk
30,00:01,133,Head Turn,60,0.8,Student turned head significantly
30,00:01,133,Looking Away,50,0.7,Student looking away from desk
33,00:01,151,Head Turn,60,0.8,Student turned head significantly
33,00:01,151,Hand Raise,70,0.9,Student raised hand above shoulder
33,00:01,151,Looking Away,50,0.7,Student looking away from desk
34,00:01,153,Hand Raise,70,0.9,Student raised hand above shoulder
34,00:01,153,Looking Away,50,0.7,Student looking away from desk
34,00:01,154,Head Turn,60,0.8,Student turned head significantly
34,00:01,154,Looking Away,50,0.7,Student looking away from desk
34,00:01,155,Head Turn,60,0.8,Student turned head significantly
34,00:01,155,Looking Away,50,0.7,Student looking away from desk
35,00:01,161,Hand Raise,70,0.9,Student raised hand above shoulder
35,00:01,161,Looking Away,50,0.7,Student looking away from desk
35,00:01,162,Hand Raise,70,0.9,Student raised hand above shoulder
36,00:01,163,Hand Raise,70,0.9,Student raised hand above shoulder
36,00:01,164,Head Turn,60,0.8,Student turned head significantly
36,00:01,164,Hand Raise,70,0.9,Student raised hand above shoulder
36,00:01,164,Looking Away,50,0.7,Student looking away from desk
36,00:01,165,Hand Raise,70,0.9,Student raised hand above shoulder
36,00:01,165,Looking Away,50,0.7,Student looking away from desk
36,00:01,166,Head Turn,60,0.8,Student turned head significantly
36,00:01,166,Hand Raise,70,0.9,Student raised hand above shoulder
36,00:01,166,Looking Away,50,0.7,Student looking away from desk
36,00:01,167,Head Turn,60,0.8,Student turned head significantly
36,00:01,167,Hand Raise,70,0.9,Student raised hand above shoulder
36,00:01,167,Looking Away,50,0.7,Student looking away from desk
37,00:01,169,Head Turn,60,0.8,Student turned head significantly
37,00:01,169,Hand Raise,70,0.9,Student raised hand above shoulder
38,00:01,173,Head Turn,60,0.8,Student turned head significantly
40,00:01,181,Head Turn,60,0.8,Student turned head significantly
41,00:01,187,Looking Away,50,0.7,Student looking away from desk
41,00:01,188,Head Turn,60,0.8,Student turned head significantly
41,00:01,188,Hand Raise,70,0.9,Student raised hand above shoulder
41,00:01,188,Looking Away,50,0.7,Student looking away from desk
42,00:01,190,Head Turn,60,0.8,Student turned head significantly
43,00:01,196,Head Turn,60,0.8,Student turned head significantly
43,00:01,196,Hand Raise,70,0.9,Student raised hand above shoulder
43,00:01,196,Looking Away,50,0.7,Student looking away from desk
43,00:01,197,Head Turn,60,0.8,Student turned head significantly
43,00:01,197,Looking Away,50,0.7,Student looking away from desk
43,00:01,198,Head Turn,60,0.8,Student turned head significantly
43,00:01,198,Hand Raise,70,0.9,Student raised hand above shoulder
43,00:01,198,Looking Away,50,0.7,Student looking away from desk
44,00:01,200,Head Turn,60,0.8,Student turned head significantly
45,00:01,206,Head Turn,60,0.8,Student turned head significantly
45,00:01,206,Looking Away,50,0.7,Student looking away from desk
45,00:01,207,Looking Away,50,0.7,Student looking away from desk
45,00:01,208,Head Turn,60,0.8,Student turned head significantly
45,00:01,208,Looking Away,50,0.7,Student looking away from desk
48,00:01,218,Head Turn,60,0.8,Student turned head significantly
48,00:01,218,Hand Raise,70,0.9,Student raised hand above shoulder
48,00:01,219,Hand Raise,70,0.9,Student raised hand above shoulder
48,00:01,219,Looking Away,50,0.7,Student looking away from desk
50,00:01,228,Head Turn,60,0.8,Student turned head significantly
51,00:01,231,Head Turn,60,0.8,Student turned head significantly
54,00:01,250,Hand Raise,70,0.9,Student raised hand above shoulder
55,00:01,251,Hand Raise,70,0.9,Student raised hand above shoulder
55,00:01,251,Looking Away,50,0.7,Student looking away from desk
55,00:01,252,Hand Raise,70,0.9,Student raised hand above shoulder
55,00:01,252,Looking Away,50,0.7,Student looking away from desk
55,00:01,253,Head Turn,60,0.8,Student turned head significantly
55,00:01,253,Hand Raise,70,0.9,Student raised hand above shoulder
55,00:01,253,Looking Away,50,0.7,Student looking away from desk
55,00:01,255,Head Turn,60,0.8,Student turned head significantly
56,00:01,259,Hand Raise,70,0.9,Student raised hand above shoulder
57,00:01,261,Hand Raise,70,0.9,Student raised hand above shoulder
57,00:01,261,Looking Away,50,0.7,Student looking away from desk
57,00:01,262,Hand Raise,70,0.9,Student raised hand above shoulder
58,00:02,265,Hand Raise,70,0.9,Student raised hand above shoulder
58,00:02,266,Hand Raise,70,0.9,Student raised hand above shoulder
58,00:02,266,Looking Away,50,0.7,Student looking away from desk
59,00:02,269,Head Turn,60,0.8,Student turned head significantly
59,00:02,269,Hand Raise,70,0.9,Student raised hand above shoulder
59,00:02,269,Looking Away,50,0.7,Student looking away from desk
59,00:02,270,Hand Raise,70,0.9,Student raised hand above shoulder
59,00:02,270,Looking Away,50,0.7,Student looking away from desk
60,00:02,273,Hand Raise,70,0.9,Student raised hand above shoulder
60,00:02,274,Hand Raise,70,0.9,Student raised hand above shoulder
60,00:02,274,Looking Away,50,0.7,Student looking away from desk
61,00:02,277,Head Turn,60,0.8,Student turned head significantly
61,00:02,277,Hand Raise,70,0.9,Student raised hand above shoulder
61,00:02,277,Looking Away,50,0.7,Student looking away from desk
61,00:02,278,Hand Raise,70,0.9,Student raised hand above shoulder
61,00:02,278,Looking Away,50,0.7,Student looking away from desk
61,00:02,281,Head Turn,60,0.8,Student turned head significantly
64,00:02,293,Head Turn,60,0.8,Student turned head significantly
66,00:02,301,Head Turn,60,0.8,Student turned head significantly
66,00:02,301,Hand Raise,70,0.9,Student raised hand above shoulder
66,00:02,301,Looking Away,50,0.7,Student looking away from desk
67,00:02,306,Hand Raise,70,0.9,Student raised hand above shoulder
67,00:02,306,Looking Away,50,0.7,Student looking away from desk
68,00:02,307,Hand Raise,70,0.9,Student raised hand above shoulder
68,00:02,308,Head Turn,60,0.8,Student turned head significantly
68,00:02,308,Hand Raise,70,0.9,Student raised hand above shoulder
68,00:02,308,Looking Away,50,0.7,Student looking away from desk
68,00:02,309,Head Turn,60,0.8,Student turned head significantly
68,00:02,309,Hand Raise,70,0.9,Student raised hand above shoulder
68,00:02,309,Looking Away,50,0.7,Student looking away from desk
69,00:02,311,Hand Raise,70,0.9,Student raised hand above shoulder
69,00:02,311,Looking Away,50,0.7,Student looking away from desk
71,00:02,319,Hand Raise,70,0.9,Student raised hand above shoulder
71,00:02,319,Looking Away,50,0.7,Student looking away from desk
73,00:02,330,Head Turn,60,0.8,Student turned head significantly
73,00:02,330,Hand Raise,70,0.9,Student raised hand above shoulder
74,00:02,331,Hand Raise,70,0.9,Student raised hand above shoulder
74,00:02,332,Hand Raise,70,0.9,Student raised hand above shoulder
74,00:02,333,Head Turn,60,0.8,Student turned head significantly
74,00:02,333,Hand Raise,70,0.9,Student raised hand above shoulder
74,00:02,333,Looking Away,50,0.7,Student looking away from desk
76,00:02,339,Head Turn,60,0.8,Student turned head significantly
76,00:02,342,Head Turn,60,0.8,Student turned head significantly
77,00:02,343,Head Turn,60,0.8,Student turned head significantly
77,00:02,343,Hand Raise,70,0.9,Student raised hand above shoulder
77,00:02,345,Head Turn,60,0.8,Student turned head significantly
77,00:02,345,Hand Raise,70,0.9,Student raised hand above shoulder
77,00:02,345,Looking Away,50,0.7,Student looking away from desk
78,00:02,350,Head Turn,60,0.8,Student turned head significantly
78,00:02,350,Hand Raise,70,0.9,Student raised hand above shoulder
78,00:02,350,Looking Away,50,0.7,Student looking away from desk
79,00:02,353,Head Turn,60,0.8,Student turned head significantly
79,00:02,353,Hand Raise,70,0.9,Student raised hand above shoulder
79,00:02,353,Looking Away,50,0.7,Student looking away from desk
80,00:02,355,Hand Raise,70,0.9,Student raised hand above shoulder
82,00:02,366,Hand Raise,70,0.9,Student raised hand above shoulder
82,00:02,366,Looking Away,50,0.7,Student looking away from desk
83,00:02,367,Hand Raise,70,0.9,Student raised hand above shoulder
83,00:02,367,Looking Away,50,0.7,Student looking away from desk
83,00:02,368,Head Turn,60,0.8,Student turned head significantly
83,00:02,368,Hand Raise,70,0.9,Student raised hand above shoulder
83,00:02,369,Head Turn,60,0.8,Student turned head significantly
83,00:02,369,Hand Raise,70,0.9,Student raised hand above shoulder
85,00:02,375,Head Turn,60,0.8,Student turned head significantly
85,00:02,375,Looking Away,50,0.7,Student looking away from desk
85,00:02,376,Head Turn,60,0.8,Student turned head significantly
85,00:02,376,Hand Raise,70,0.9,Student raised hand above shoulder
85,00:02,376,Looking Away,50,0.7,Student looking away from desk
87,00:03,383,Head Turn,60,0.8,Student turned head significantly
91,00:03,400,Head Turn,60,0.8,Student turned head significantly
